InspeksiID,Tanggal,Bulan,NamaBulan,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,UmurTanaman,SPH,JenisTanah,Topografi,Asisten,Mandor,PemeriksaEPR,LuasInspeksi_Ha,PokokSampel,BrondolanTidakTerkutip_Butir,Brondolan_ButirPerPokok,StandarBrondolan_ButirPerPokok,DeviasiBrondolan,BuahMatangTidakDipanen_Jjg,JanjangTertinggalDiTPH,JanjangTertinggal_PerHa,BuahMentahDipanen_Jjg,TangkaiPanjang_Jjg,BJR_Kg,LossesBrondolan_KgPerHaBulan,LossesJanjang_KgPerHaBulan,EstimasiLosses_KgPerHaBulan,ProduksiPotensi_KgPerHaBulan,Losses_PersenTerhadapProduksi,EstimasiLosses_Kg,EstimasiKerugian_Rp,CurahHujanBulan_mm,Status,KategoriTemuan,TindakLanjut
LP-00011,2026-05-27,5,Mei,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Mulyadi Anggara,2.0,50,131,2.62,2.0,0.62,0,0,0.0,0,0,11.9,18.3,0.0,18.3,2333.0,0.79,557.5,1663241,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00012,2026-06-17,6,Jun,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Umar Mahendra,2.0,50,88,1.75,2.0,-0.25,0,0,0.0,1,3,11.9,12.2,0.0,12.2,2333.0,0.52,372.4,1140765,252.7,Sesuai Standar,Minor,Monitoring rutin
LP-00013,2026-07-13,7,Jul,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,10,140,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Dedi Sanjaya,2.0,50,196,3.92,2.0,1.92,0,0,0.0,1,2,11.9,27.4,0.0,27.4,2333.0,1.18,834.2,2557700,209.6,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00014,2026-01-06,1,Jan,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,12,135,Gambut,Datar,Dedi Halim,Teguh Sagala,Jefri Ramadhan,2.0,30,86,2.85,2.0,0.85,1,0,0.5,1,1,13.8,19.2,34.5,53.7,2333.0,2.3,1305.8,3773431,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00015,2026-02-16,2,Feb,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,12,135,Gambut,Datar,Dedi Halim,Teguh Sagala,Lukman Setiawan,2.0,50,130,2.59,2.0,0.59,0,0,0.0,2,3,13.8,17.5,0.0,17.5,2333.0,0.75,424.8,1223784,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00016,2026-04-16,4,Apr,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,12,135,Gambut,Datar,Dedi Halim,Teguh Sagala,Bambang Ginting,2.0,25,66,2.66,2.0,0.66,0,0,0.0,1,4,13.8,18.0,0.0,18.0,2333.0,0.77,436.3,1288823,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00017,2026-07-19,7,Jul,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,12,135,Gambut,Datar,Dedi Halim,Teguh Sagala,Eko Ramadhan,2.0,25,120,4.81,2.0,2.81,1,0,0.5,0,1,13.8,32.5,34.5,67.0,2333.0,2.87,1627.3,4989561,209.6,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00018,2026-03-16,3,Mar,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,15,143,Gambut,Bergelombang,Dedi Halim,Teguh Sagala,Paiman Silalahi,2.0,50,116,2.33,2.0,0.33,0,0,0.0,0,4,16.6,16.7,0.0,16.7,2167.0,0.77,486.5,1432899,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00019,2026-04-16,4,Apr,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,15,143,Gambut,Bergelombang,Dedi Halim,Teguh Sagala,Usman Bahari,2.0,25,32,1.26,2.0,-0.74,1,0,0.5,1,3,16.6,9.0,41.6,50.6,2167.0,2.34,1478.5,4367438,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00020,2026-05-18,5,Mei,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,15,143,Gambut,Bergelombang,Dedi Halim,Teguh Sagala,Bambang Gunadi,2.0,50,100,2.01,2.0,0.01,0,0,0.0,0,4,16.6,14.4,0.0,14.4,2167.0,0.66,419.6,1251893,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00021,2026-07-08,7,Jul,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,15,143,Gambut,Bergelombang,Dedi Halim,Teguh Sagala,Endang Nasution,2.0,50,98,1.97,2.0,-0.03,1,0,0.5,1,1,16.6,14.1,41.6,55.7,2167.0,2.57,1626.7,4987832,209.6,Sesuai Standar,Minor,Monitoring rutin
LP-00022,2026-06-15,6,Jun,BSK-A-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.9,12,138,Mineral,Datar,Dedi Halim,Iwan Harahap,Gunawan Lubis,2.0,25,81,3.24,2.0,1.24,1,0,0.5,0,3,13.8,22.4,34.5,56.9,2333.0,2.44,1586.3,4859227,252.7,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00023,2026-07-11,7,Jul,BSK-A-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.9,12,138,Mineral,Datar,Dedi Halim,Iwan Harahap,Slamet Saputra,2.0,50,282,5.65,2.0,3.65,0,0,0.0,0,1,13.8,39.0,0.0,39.0,2333.0,1.67,1087.7,3334983,209.6,Kritis,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00024,2026-01-18,1,Jan,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,12,130,Podsolik Merah Kuning,Datar,Dedi Halim,Teguh Sagala,Oki Harahap,2.0,25,44,1.75,2.0,-0.25,1,0,0.5,2,2,13.8,11.4,34.5,45.9,2333.0,1.97,1458.8,4215566,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00025,2026-02-07,2,Feb,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,12,130,Podsolik Merah Kuning,Datar,Dedi Halim,Teguh Sagala,Gunawan Manurung,2.0,30,61,2.05,2.0,0.05,0,0,0.0,0,2,13.8,13.3,0.0,13.3,2333.0,0.57,423.7,1220644,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00026,2026-06-20,6,Jun,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,12,130,Podsolik Merah Kuning,Datar,Dedi Halim,Teguh Sagala,Maman Wijaya,2.0,50,178,3.55,2.0,1.55,1,0,0.5,1,3,13.8,23.1,34.5,57.6,2333.0,2.47,1830.9,5608513,252.7,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00027,2026-01-18,1,Jan,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,9,130,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Hendra Gunadi,2.0,30,58,1.94,2.0,-0.06,0,0,0.0,1,4,10.9,12.6,0.0,12.6,2250.0,0.56,361.9,1045802,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00028,2026-04-09,4,Apr,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,9,130,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Wahyu Bahari,2.0,25,66,2.62,2.0,0.62,0,0,0.0,0,2,10.9,17.0,0.0,17.0,2250.0,0.76,488.8,1443770,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00029,2026-05-11,5,Mei,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,9,130,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Yuli Sianturi,2.0,50,93,1.86,2.0,-0.14,1,0,0.5,0,2,10.9,12.1,27.4,39.5,2250.0,1.75,1132.6,3378908,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00030,2026-01-20,1,Jan,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,11,136,Mineral,Bergelombang,Dedi Halim,Teguh Sagala,Yanto Mahendra,2.0,50,87,1.74,2.0,-0.26,0,0,0.0,1,2,12.8,11.8,0.0,11.8,2333.0,0.51,332.5,960765,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00031,2026-02-19,2,Feb,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,11,136,Mineral,Bergelombang,Dedi Halim,Teguh Sagala,Untung Saragih,2.0,30,30,1.01,2.0,-0.99,0,0,0.0,1,2,12.8,6.9,0.0,6.9,2333.0,0.29,193.0,555944,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00032,2026-05-07,5,Mei,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,11,136,Mineral,Bergelombang,Dedi Halim,Teguh Sagala,Agus Sagala,2.0,50,118,2.35,2.0,0.35,0,0,0.0,0,2,12.8,16.0,0.0,16.0,2333.0,0.68,449.0,1339570,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00033,2026-01-10,1,Jan,BSK-A-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.9,17,132,Mineral,Datar,Dedi Halim,Teguh Sagala,Nanda Ismail,2.0,25,90,3.6,2.0,1.6,1,0,0.5,2,3,18.5,23.8,46.4,70.1,2000.0,3.51,2026.9,5857137,391.2,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00034,2026-06-20,6,Jun,BSK-A-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.9,17,132,Mineral,Datar,Dedi Halim,Teguh Sagala,Paiman Manurung,2.0,25,95,3.79,2.0,1.79,1,0,0.5,2,3,18.5,25.0,46.4,71.4,2000.0,3.57,2063.1,6319981,252.7,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00035,2026-01-21,1,Jan,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,13,130,Mineral,Bergelombang,Dedi Halim,Iwan Harahap,Wardi Sembiring,2.0,30,53,1.77,2.0,-0.23,1,0,0.5,1,2,14.8,11.5,36.9,48.4,2250.0,2.15,1494.9,4319933,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00036,2026-05-06,5,Mei,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,13,130,Mineral,Bergelombang,Dedi Halim,Iwan Harahap,Yanto Sagala,2.0,30,32,1.08,2.0,-0.92,1,0,0.5,0,2,14.8,7.0,36.9,43.9,2250.0,1.95,1356.4,4046279,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00037,2026-07-11,7,Jul,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,13,130,Mineral,Bergelombang,Dedi Halim,Iwan Harahap,Zainal Saputra,2.0,30,88,2.93,2.0,0.93,0,0,0.0,0,2,14.8,19.0,0.0,19.0,2250.0,0.85,588.5,1804394,209.6,Sesuai Standar,Minor,Monitoring rutin
LP-00038,2026-02-26,2,Feb,BSK-A-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.5,15,136,Aluvial,Datar,Dedi Halim,Endang Manurung,Sutrisno Panjaitan,2.0,30,81,2.7,2.0,0.7,1,0,0.5,1,3,16.6,18.4,41.6,60.0,2167.0,2.77,1709.6,4924731,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00039,2026-03-18,3,Mar,BSK-A-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.5,15,136,Aluvial,Datar,Dedi Halim,Endang Manurung,Tono Pratama,2.0,50,113,2.26,2.0,0.26,1,0,0.5,0,2,16.6,15.4,41.6,57.0,2167.0,2.63,1624.3,4784507,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00040,2026-01-23,1,Jan,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,9,132,Mineral,Berbukit,Dedi Halim,Endang Manurung,Nanda Butar-butar,2.0,30,103,3.42,2.0,1.42,1,0,0.5,0,3,10.9,22.6,27.4,49.9,2250.0,2.22,1208.7,3492830,391.2,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00041,2026-03-25,3,Mar,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,9,132,Mineral,Berbukit,Dedi Halim,Endang Manurung,Eko Lubis,2.0,30,66,2.19,2.0,0.19,1,0,0.5,0,1,10.9,14.5,27.4,41.8,2250.0,1.86,1012.3,2981698,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00042,2026-05-16,5,Mei,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,9,132,Mineral,Berbukit,Dedi Halim,Endang Manurung,Priyo Tarigan,2.0,30,91,3.03,2.0,1.03,0,0,0.0,1,3,10.9,20.0,0.0,20.0,2250.0,0.89,484.0,1443724,261.2,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00043,2026-06-06,6,Jun,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,9,132,Mineral,Berbukit,Dedi Halim,Endang Manurung,Fajar Harahap,2.0,25,54,2.14,2.0,0.14,1,0,0.5,0,2,10.9,14.1,27.4,41.5,2250.0,1.84,1004.3,3076377,252.7,Sesuai Standar,Minor,Monitoring rutin
LP-00044,2026-02-12,2,Feb,BSK-A-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.2,12,128,Mineral,Datar,Dedi Halim,Iwan Harahap,Lestari Nugroho,2.0,50,98,1.97,2.0,-0.03,1,0,0.5,1,3,13.8,12.6,34.5,47.1,2333.0,2.02,1187.1,3419717,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00045,2026-07-16,7,Jul,BSK-A-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.2,12,128,Mineral,Datar,Dedi Halim,Iwan Harahap,Darto Suhendra,2.0,30,82,2.74,2.0,0.74,0,0,0.0,0,2,13.8,17.5,0.0,17.5,2333.0,0.75,441.9,1354949,209.6,Sesuai Standar,Minor,Monitoring rutin
LP-00046,2026-04-18,4,Apr,BSK-A-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.8,11,135,Mineral,Berbukit,Dedi Halim,Teguh Sagala,Marwan Gunadi,2.0,30,31,1.03,2.0,-0.97,1,0,0.5,2,2,12.8,7.0,32.1,39.1,2333.0,1.67,1086.4,3209026,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00047,2026-01-07,1,Jan,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,16,132,Podsolik Merah Kuning,Datar,Dedi Halim,Endang Manurung,Fajar Sembiring,2.0,25,88,3.54,2.0,1.54,0,0,0.0,2,4,17.6,23.4,0.0,23.4,2083.0,1.12,712.6,2059205,391.2,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00048,2026-03-11,3,Mar,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,16,132,Podsolik Merah Kuning,Datar,Dedi Halim,Endang Manurung,Samsul Butar-butar,2.0,30,77,2.58,2.0,0.58,1,0,0.5,1,2,17.6,17.0,44.0,61.0,2083.0,2.93,1861.4,5482767,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00049,2026-04-16,4,Apr,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,16,132,Podsolik Merah Kuning,Datar,Dedi Halim,Endang Manurung,Ade Adiputra,2.0,30,59,1.97,2.0,-0.03,0,0,0.0,0,3,17.6,13.0,0.0,13.0,2083.0,0.62,396.6,1171417,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00050,2026-05-14,5,Mei,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,16,132,Podsolik Merah Kuning,Datar,Dedi Halim,Endang Manurung,Gilang Yusril,2.0,30,76,2.55,2.0,0.55,1,0,0.5,0,2,17.6,16.8,44.0,60.8,2083.0,2.92,1855.3,5534775,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00051,2026-06-17,6,Jun,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,16,132,Podsolik Merah Kuning,Datar,Dedi Halim,Endang Manurung,Irwan Tampubolon,2.0,25,91,3.65,2.0,1.65,1,0,0.5,1,2,17.6,24.1,44.0,68.1,2083.0,3.27,2076.7,6361651,252.7,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00052,2026-01-12,1,Jan,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Wahyu Nasution,2.0,25,44,1.78,2.0,-0.22,0,0,0.0,1,0,9.0,12.3,0.0,12.3,2000.0,0.61,310.7,897929,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00053,2026-02-13,2,Feb,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Edi Utomo,2.0,25,65,2.59,2.0,0.59,0,0,0.0,0,1,9.0,17.9,0.0,17.9,2000.0,0.89,452.1,1302459,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00054,2026-03-17,3,Mar,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Tarno Ginting,2.0,25,58,2.33,2.0,0.33,1,0,0.5,0,4,9.0,16.1,22.6,38.7,2000.0,1.94,979.2,2884195,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00055,2026-04-25,4,Apr,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Fajar Sanjaya,2.0,50,104,2.09,2.0,0.09,0,0,0.0,1,2,9.0,14.4,0.0,14.4,2000.0,0.72,364.9,1077748,382.8,Sesuai Standar,Minor,Monitoring rutin
LP-00056,2026-05-15,5,Mei,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Candra Kurniawan,2.0,25,52,2.06,2.0,0.06,0,0,0.0,0,1,9.0,14.2,0.0,14.2,2000.0,0.71,359.6,1072801,261.2,Sesuai Standar,Minor,Monitoring rutin
LP-00057,2026-07-15,7,Jul,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,7,138,Mineral,Berbukit,Dedi Halim,Iwan Harahap,Riko Tampubolon,2.0,30,53,1.78,2.0,-0.22,0,0,0.0,2,2,9.0,12.3,0.0,12.3,2000.0,0.61,310.7,952755,209.6,Sesuai Standar,Minor,Monitoring rutin
LP-00058,2026-03-18,3,Mar,BSK-A-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.6,17,140,Mineral,Bergelombang,Dedi Halim,Iwan Harahap,Feri Sitompul,2.0,25,58,2.32,2.0,0.32,0,0,0.0,0,2,18.5,16.2,0.0,16.2,2000.0,0.81,513.2,1511624,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00059,2026-06-16,6,Jun,BSK-A-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.6,17,140,Mineral,Bergelombang,Dedi Halim,Iwan Harahap,Teguh Manurung,2.0,50,130,2.6,2.0,0.6,0,0,0.0,0,2,18.5,18.2,0.0,18.2,2000.0,0.91,575.1,1761753,252.7,Sesuai Standar,Minor,Monitoring rutin
LP-00060,2026-01-06,1,Jan,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,15,140,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Herman Pratama,2.0,25,57,2.29,2.0,0.29,0,0,0.0,0,1,16.6,16.0,0.0,16.0,2167.0,0.74,420.0,1213633,391.2,Sesuai Standar,Minor,Monitoring rutin
LP-00061,2026-04-10,4,Apr,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,15,140,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Rahmat Hutapea,2.0,25,76,3.04,2.0,1.04,1,0,0.5,0,3,16.6,21.3,41.6,62.9,2167.0,2.9,1648.1,4868421,382.8,Perhatian,Brondolan tidak terkutip,Kutip ulang + briefing mandor
LP-00062,2026-06-13,6,Jun,BSK-A-020,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.2,15,140,Gambut,Berbukit,Dedi Halim,Iwan Harahap,Slamet Wibowo,2.0,30,88,2.93,2.0,0.93,1,0,0.5,2,2,16.6,20.5,41.6,62.1,2167.0,2.87,1627.9,4986826,252.7,Sesuai Standar,Minor,Monitoring rutin
LP-00063,2026-02-22,2,Feb,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,19,132,Aluvial,Berbukit,Dedi Halim,Teguh Sagala,Deni Bahari,2.0,50,148,2.97,2.0,0.97,0,0,0.0,2,5,20.4,19.6,0.0,19.6,1833.0,1.07,582.2,1677072,422.4,Sesuai Standar,Minor,Monitoring rutin
LP-00064,2026-03-25,3,Mar,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,19,132,Aluvial,Berbukit,Dedi Halim,Teguh Sagala,Sutrisno Rachman,2.0,25,61,2.44,2.0,0.44,0,0,0.0,0,4,20.4,16.1,0.0,16.1,1833.0,0.88,478.3,1408837,398.3,Sesuai Standar,Minor,Monitoring rutin
LP-00065,2026-04-22,4,Apr,BSK-A-021,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.7,19,132,Aluvial,Berbukit,Dedi Halim,Teguh Sagala,Eko Pratama,2.0,30,58,1.93,2.0,-0.07,0,0,0.0,0,2,20.4,12.7,0.0,12.7,1833.0,0.69,378.3,1117530,382.8,Sesuai Standar,Minor,Monitoring rutin
