SortasiID,Tanggal,Bulan,NamaBulan,PKS,Wilayah,EstateKode,EstateAsal,Afdeling,StatusKebun,NoKendaraan,Supir,JumlahJanjang,Berat_Ton,JanjangMatang_Persen,JanjangMentah_Persen,JanjangLewatMatang_Persen,JanjangKosong_Persen,TangkaiPanjang_Persen,Brondolan_Kg,RestanJam,ALB_Persen,GradeTBS,Penalti_Rp,PetugasSortasi
SRT-000011,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 8349 DH,Gunawan Halim,491,6.78,91.2,2.7,4.9,1.2,2.6,482,12.7,3.16,A,0,Rahmat Kusuma
SRT-000012,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 3311 GD,Jumadi Situmorang,313,5.62,93.0,3.5,2.4,1.1,5.2,438,13.6,3.15,B,392351,Priyo Sagala
SRT-000013,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 5476 DB,Dedi Suhendra,379,6.89,95.0,3.3,1.4,0.3,2.0,486,14.9,3.37,B,605588,Untung Damanik
SRT-000014,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 9143 DJ,Teguh Saragih,653,8.95,93.0,2.2,4.2,0.5,1.5,919,9.3,2.92,A,0,Candra Hutapea
SRT-000015,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 3002 CB,Zainal Saputra,551,8.27,91.7,4.2,3.6,0.5,2.7,781,15.5,3.12,B,290085,Lukman Halim
SRT-000016,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 1051 EA,Joko Santoso,438,6.72,91.8,3.3,4.4,0.5,0.7,654,17.1,3.26,B,472978,Kasno Sembiring
SRT-000017,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 9619 EJ,Parjono Sudarmono,595,7.83,94.5,2.0,3.5,0.0,3.1,568,9.1,3.18,A,0,Firman Simanjuntak
SRT-000018,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 6980 KB,Yohanes Hartanto,443,7.4,90.6,3.6,4.9,0.8,3.2,524,14.8,3.07,B,463112,Samsul Effendi
SRT-000019,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,F,Inti,KH 6181 GB,Candra Utomo,540,7.25,94.4,3.9,1.8,0.0,2.0,720,11.3,3.01,B,636095,Yohanes Setiawan
SRT-000020,2026-01-02,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 8942 FB,Priyo Yusril,547,7.11,89.6,2.7,6.6,1.0,2.3,762,8.6,2.58,A,0,Darto Sembiring
SRT-000021,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 5396 GA,Dedi Sudarmono,670,7.92,93.3,1.6,3.8,1.3,0.7,746,13.6,3.38,A,0,Dedi Ismail
SRT-000022,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 1561 ED,Candra Saputra,465,6.08,93.1,0.6,5.9,0.4,1.9,425,12.7,3.2,A,0,Marwan Effendi
SRT-000023,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 2889 GG,Dewi Nugroho,614,6.94,92.2,1.8,5.2,0.7,2.2,565,5.7,2.77,A,0,Untung Saragih
SRT-000024,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 6300 DJ,Darto Manurung,473,7.15,88.2,4.1,7.3,0.3,2.1,584,18.5,3.61,B,322328,Sri Kurniawan
SRT-000025,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 1939 FF,Marni Sianturi,566,8.36,91.6,2.5,4.9,1.0,1.9,503,18.1,3.69,B,669356,Guntur Mahendra
SRT-000026,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 9696 CB,Yohanes Nasution,510,6.76,91.7,5.1,2.5,0.7,2.7,598,14.8,3.33,B,270762,Gilang Sudarmono
SRT-000027,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,F,Inti,KH 6622 EC,Herman Sianturi,410,6.37,92.4,2.4,4.2,1.0,1.8,474,13.0,3.23,A,0,Priyo Sianturi
SRT-000028,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 5923 HE,Agus Sembiring,419,7.84,92.3,1.5,5.5,0.6,1.9,604,12.4,2.76,A,0,Lukman Purba
SRT-000029,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 5307 EC,Edi Sudarmono,468,8.08,91.7,2.7,5.0,0.6,3.4,570,8.6,2.57,A,0,Slamet Siregar
SRT-000030,2026-01-03,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 2125 BB,Samsul Sagala,365,7.02,89.3,4.9,5.1,0.7,3.6,461,10.4,3.31,B,579971,Slamet Saputra
SRT-000031,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 1803 FA,Paiman Nugroho,480,5.93,89.4,2.7,6.8,1.2,1.7,651,20.8,3.37,B,479048,Marni Sianturi
SRT-000032,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 5794 FF,Iwan Saragih,683,7.55,92.1,3.8,3.3,0.8,0.5,617,13.8,3.34,B,340555,Rahmat Ginting
SRT-000033,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 9150 HD,Ade Mangunsong,658,9.09,92.4,2.9,3.9,0.7,2.2,767,6.9,2.8,A,0,Untung Wibowo
SRT-000034,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 1667 BH,Endang Handoko,486,5.65,96.0,1.5,2.2,0.4,4.0,486,9.7,2.93,A,0,Mulyadi Suhendra
SRT-000035,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 2982 DJ,Siti Mangunsong,524,6.42,91.3,3.2,4.9,0.6,1.0,665,14.5,3.55,B,350755,Wardi Firdaus
SRT-000036,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 9506 BA,Wulan Sianturi,673,8.1,94.0,2.6,2.8,0.6,2.0,536,14.6,3.19,A,0,Wulan Sanjaya
SRT-000037,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 8047 HF,Fajar Utomo,470,6.18,92.1,2.2,5.0,0.7,5.2,635,16.4,3.54,A,0,Marwan Sembiring
SRT-000038,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 4553 AA,Usman Nasution,309,5.82,93.2,1.6,4.4,0.7,2.9,626,19.3,3.61,B,515727,Sri Hartanto
SRT-000039,2026-01-05,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 5212 JG,Nanda Nasution,530,8.82,92.5,0.0,7.0,0.5,2.9,639,5.7,2.78,A,0,Feri Ginting
SRT-000040,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,F,Inti,KH 2008 EA,Zainal Handoko,408,6.96,94.3,1.5,3.4,0.8,3.0,716,14.5,3.24,A,0,Zulkifli Adiputra
SRT-000041,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 1175 KE,Kasno Setiawan,390,6.39,94.4,1.6,3.2,0.8,4.6,659,2.0,2.5,A,0,Latif Pratama
SRT-000042,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 8098 BA,Samsul Lubis,485,8.48,91.7,1.9,5.1,1.3,2.5,595,18.5,3.42,B,713469,Samsul Ginting
SRT-000043,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 7200 AG,Siti Santoso,480,6.23,92.4,3.1,4.0,0.5,1.6,529,19.4,3.62,B,537653,Siti Silalahi
SRT-000044,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 6078 JA,Parjono Manurung,358,5.77,92.6,3.4,3.6,0.5,2.3,449,12.1,2.74,B,232826,Joko Sagala
SRT-000045,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 2665 AH,Yusuf Saputra,381,6.87,94.0,1.8,3.7,0.5,3.6,442,11.4,3.06,A,0,Latif Tarigan
SRT-000046,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 2892 FK,Umar Tarigan,449,8.37,89.6,3.9,5.5,1.0,0.4,836,8.8,2.77,B,509750,Kasno Effendi
SRT-000047,2026-01-06,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 8425 GF,Candra Barus,400,6.6,92.8,3.1,3.8,0.4,3.5,418,8.7,2.84,B,344472,Lestari Handoko
SRT-000048,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 5790 CC,Sutrisno Sagala,396,6.79,95.1,0.9,2.3,1.8,2.5,635,18.0,3.83,A,0,Oki Santoso
SRT-000049,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 2324 JC,Bambang Sianturi,437,7.1,92.1,2.5,4.0,1.4,1.3,491,21.7,4.03,B,628847,Zainal Sagala
SRT-000050,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 9041 AK,Joko Tarigan,497,8.03,93.7,2.8,1.6,1.9,2.5,793,13.3,3.53,A,0,Nurdin Suhendra
SRT-000051,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 7433 ED,Feri Santoso,513,6.27,92.8,3.9,3.2,0.0,0.3,409,20.1,3.75,B,475935,Ratna Wijaya
SRT-000052,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 4815 BF,Dewi Silalahi,421,8.0,97.3,1.0,0.6,1.1,0.2,695,20.6,3.96,B,329237,Teguh Lubis
SRT-000053,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 6334 DG,Candra Yusril,523,7.41,92.3,1.5,4.7,1.5,3.7,521,6.4,2.45,A,0,Parjono Lubis
SRT-000054,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 1187 DK,Yusuf Sanjaya,700,9.01,93.8,0.0,5.7,0.4,2.5,777,21.6,3.89,B,758604,Yuli Rachman
SRT-000055,2026-01-07,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 1974 KJ,Lukman Ginting,437,7.59,95.6,2.9,1.0,0.5,1.0,502,18.3,3.79,B,366076,Tono Sitompul
SRT-000056,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 6819 HC,Latif Silalahi,439,6.78,91.2,3.7,4.3,0.8,2.3,621,2.0,2.35,B,555317,Yohanes Sudarmono
SRT-000057,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,C,Inti,KH 5899 AB,Joko Fauzi,434,5.99,93.2,3.7,2.8,0.3,2.4,560,19.0,3.5,B,231961,Untung Harahap
SRT-000058,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,F,Inti,KH 2967 HJ,Nurdin Suhendra,634,7.69,97.4,1.1,1.1,0.4,2.6,480,13.2,3.2,A,0,Wardi Rachman
SRT-000059,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 7173 KJ,Iwan Yusril,476,6.72,95.0,2.1,1.9,1.1,1.8,668,8.4,2.97,A,0,Yohanes Dalimunthe
SRT-000060,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 7067 FE,Tarno Gunadi,306,6.1,94.1,3.7,1.1,1.1,2.7,469,13.0,2.89,B,257349,Herman Ramadhan
SRT-000061,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 3071 GH,Umar Hutapea,478,8.88,93.0,2.4,2.7,1.9,2.8,567,13.4,3.48,A,0,Imam Handoko
SRT-000062,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 1802 EF,Agus Sitompul,694,8.9,95.6,2.7,1.6,0.1,1.8,944,12.7,3.35,A,0,Umar Handoko
SRT-000063,2026-01-08,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 8908 AE,Nasrul Bahari,448,5.98,91.8,3.4,4.0,0.7,1.1,363,20.9,3.67,B,449013,Hadi Sagala
SRT-000064,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,E,Inti,KH 5723 JG,Ahmad Setiawan,568,8.82,92.4,2.7,3.4,1.4,1.9,603,18.7,3.31,B,500466,Parjono Tarigan
SRT-000065,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 4099 EA,Paiman Effendi,587,7.07,91.0,2.1,6.9,0.0,0.0,564,7.8,2.34,A,0,Hadi Effendi
SRT-000066,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 6506 KE,Jefri Situmorang,458,9.15,94.3,2.9,1.7,1.1,0.8,651,14.6,2.67,A,0,Dewi Hartanto
SRT-000067,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 8924 FA,Marni Fauzi,292,5.56,92.9,3.1,2.9,1.1,3.8,350,12.2,3.01,B,427445,Paiman Hartanto
SRT-000068,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 9209 AA,Tono Wibowo,652,9.0,89.7,3.2,5.8,1.2,2.8,947,9.3,2.9,B,586542,Priyo Mangunsong
SRT-000069,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 8744 CH,Herman Santoso,456,7.57,94.8,3.0,1.3,0.9,1.8,821,22.7,3.47,B,619397,Zulkifli Sembiring
SRT-000070,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 4141 JF,Samsul Sitompul,352,7.05,92.0,2.2,5.1,0.8,1.6,680,12.1,2.92,A,0,Siti Rachman
SRT-000071,2026-01-09,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 1952 AC,Teguh Nasution,325,5.6,92.9,2.9,3.1,1.0,1.9,516,2.6,2.52,A,0,Wulan Simanjuntak
SRT-000072,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 1988 EC,Joko Halim,651,8.07,89.3,4.6,5.5,0.6,3.2,564,15.6,3.26,B,408607,Ade Silalahi
SRT-000073,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 7814 AC,Krisna Kurniawan,361,6.28,95.9,1.5,1.7,1.0,1.5,638,12.3,3.17,A,0,Gunawan Sitompul
SRT-000074,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 6573 FH,Tarno Utomo,698,8.29,94.6,1.7,3.1,0.6,2.6,640,12.8,3.09,A,0,Sutrisno Rachman
SRT-000075,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 9652 KE,Candra Nasution,510,8.44,95.4,4.3,0.1,0.2,4.3,576,15.9,3.64,B,751077,Irwan Kurniawan
SRT-000076,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 2472 BB,Gunawan Wibowo,421,7.99,93.9,3.0,2.6,0.5,2.5,513,10.7,2.95,A,0,Lestari Suhendra
SRT-000077,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 4898 DA,Iwan Adiputra,578,6.49,93.0,5.1,1.9,0.0,3.6,430,13.3,3.26,B,255131,Lukman Butar-butar
SRT-000078,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,B,Inti,KH 4464 FB,Wagimin Maulana,518,8.47,94.1,1.2,3.0,1.7,1.5,925,7.5,2.62,A,0,Wagimin Firdaus
SRT-000079,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 6756 BE,Gunawan Sinaga,416,6.06,91.6,2.3,5.7,0.5,1.7,443,16.0,3.58,A,0,Feri Effendi
SRT-000080,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 2852 KH,Darto Yusril,370,5.92,92.6,3.3,4.1,0.0,2.1,614,19.0,3.61,B,345745,Kurnia Purba
SRT-000081,2026-01-10,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 3308 DE,Tono Barus,492,9.18,92.9,4.0,2.8,0.2,4.1,977,12.4,3.02,B,391451,Priyo Hartanto
SRT-000082,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,D,Inti,KH 4590 AD,Paiman Ramadhan,445,7.9,93.6,2.7,3.6,0.1,3.7,509,12.0,2.92,A,0,Iwan Mahendra
SRT-000083,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 6099 KJ,Dewi Sudarmono,529,6.68,94.2,1.8,3.4,0.6,4.7,709,9.1,2.75,A,0,Rahmat Kurniawan
SRT-000084,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 1813 BJ,Yanto Harahap,419,8.08,89.4,4.7,4.8,1.1,1.5,744,10.2,2.69,B,567769,Wardi Manurung
SRT-000085,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 1443 HH,Riko Simanjuntak,464,8.4,95.8,3.5,0.7,0.0,1.4,719,12.4,3.4,B,434717,Gilang Saputra
SRT-000086,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 7011 JD,Darto Harahap,778,8.85,96.7,1.5,1.6,0.2,1.9,635,19.4,3.63,B,312033,Yohanes Pratama
SRT-000087,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 9617 EB,Untung Adiputra,420,7.73,91.4,3.9,4.1,0.5,3.3,537,16.3,3.33,B,342613,Parjono Kurniawan
SRT-000088,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 2068 AK,Agus Rachman,462,8.36,92.5,3.5,2.9,1.1,2.6,532,8.4,2.77,B,725336,Wahyu Nasution
SRT-000089,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 7356 GD,Marwan Firdaus,412,7.37,92.4,2.2,5.1,0.3,2.9,799,12.6,3.24,A,0,Yohanes Maulana
SRT-000090,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,E,Inti,KH 5652 JF,Nurdin Ramadhan,615,8.24,93.5,3.2,3.3,0.0,0.5,835,18.4,3.67,B,404414,Marni Silalahi
SRT-000091,2026-01-12,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 9707 CH,Untung Hartanto,455,6.11,96.5,0.5,2.4,0.6,1.6,507,15.3,2.95,A,0,Darto Gunadi
SRT-000092,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 1549 CH,Mulyadi Saputra,569,8.28,94.3,1.4,3.8,0.5,1.8,788,9.1,2.82,A,0,Rahmat Rachman
SRT-000093,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,C,Inti,KH 8716 DG,Riko Pratama,539,9.0,91.6,2.8,4.7,0.9,2.4,686,20.0,3.82,B,705885,Zainal Hutapea
SRT-000094,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 6187 AG,Zulkifli Ramadhan,571,8.96,92.2,3.5,3.8,0.5,2.6,927,17.0,3.57,B,533759,Parjono Sanjaya
SRT-000095,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,A,Inti,KH 1851 EJ,Riko Yusril,717,8.46,95.3,0.2,3.9,0.6,1.3,882,14.9,3.18,A,0,Umar Ramadhan
SRT-000096,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 7585 DG,Edi Siregar,479,9.03,92.6,2.7,3.1,1.6,3.9,542,11.4,3.3,A,0,Bayu Hartanto
SRT-000097,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,B,Inti,KH 1026 HK,Samsul Harahap,626,7.78,93.3,3.2,2.1,1.4,5.2,611,2.9,2.58,B,407308,Slamet Sudarmono
SRT-000098,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,A,Inti,KH 4772 HD,Umar Hartanto,506,7.48,95.1,3.4,1.3,0.2,2.1,506,10.1,2.86,B,637763,Priyo Hutapea
SRT-000099,2026-01-13,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,TJL,Estate Tanjung Lestari,F,Inti,KH 3880 CJ,Riko Setiawan,517,7.29,95.4,3.6,0.8,0.2,3.0,532,2.2,2.48,B,372082,Kasno Pratama
SRT-000100,2026-01-14,1,Jan,PKS Bukit Sekawan,Kalimantan Tengah,BSK,Estate Bukit Sekawan,D,Inti,KH 4723 HF,Dedi Butar-butar,332,5.62,91.5,3.6,4.8,0.0,2.3,405,7.6,2.93,B,488738,Samsul Anggara
