PemanenID,NamaPemanen,EstateKode,Estate,Wilayah,Afdeling,Mandor,Asisten,TanggalMasuk,MasaKerjaBulan,StatusKaryawan,HancakHa
PMN-0072,Joko Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2026-01-26,6,SKU,18.4
PMN-0073,Samsul Ramadhan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2022-05-19,51,SKU,22.4
PMN-0074,Yohanes Panjaitan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2026-03-02,5,BHL,17.8
PMN-0075,Marni Bahari,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2026-03-13,4,BHL,22.8
PMN-0076,Wahyu Purba,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2025-11-29,8,SKU,23.0
PMN-0077,Yanto Rachman,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2026-05-29,2,SKU,14.3
PMN-0078,Eko Situmorang,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2026-06-07,1,SKU,23.0
PMN-0079,Siti Panjaitan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2025-12-29,7,SKU,18.9
PMN-0080,Candra Silalahi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2021-04-04,64,BHL,15.0
PMN-0081,Ratna Saputra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2026-03-24,4,SKU,16.9
PMN-0082,Hadi Sianturi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2025-04-27,15,SKU,21.4
PMN-0083,Gunawan Sagala,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2026-06-12,1,SKU,19.2
PMN-0084,Jumadi Sitompul,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2018-10-11,95,BHL,17.6
PMN-0085,Lukman Maulana,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2026-02-26,5,SKU,19.9
PMN-0086,Agus Setiawan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Deni Saputra,Bagas Alkhairi,2024-12-07,20,SKU,14.4
PMN-0087,Agus Ismail,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Marwan Halim,Bagas Alkhairi,2026-05-20,2,SKU,21.8
PMN-0088,Latif Saputra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Rudi Hartanto,Bagas Alkhairi,2025-12-26,7,SKU,17.0
PMN-0089,Nanda Suhendra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,D,Deni Saputra,Bagas Alkhairi,2026-03-31,4,SKU,25.1
PMN-0090,Hadi Sianturi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2024-11-19,20,SKU,14.5
PMN-0091,Feri Sudarmono,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2025-04-23,15,BHL,25.1
PMN-0092,Deni Manurung,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2024-12-01,20,SKU,23.4
PMN-0093,Parjono Tampubolon,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2024-01-08,31,BHL,14.8
PMN-0094,Mulyadi Saragih,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2025-02-19,17,SKU,15.5
PMN-0095,Yusuf Nasution,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2025-06-03,14,SKU,17.1
PMN-0096,Parjono Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2021-01-28,67,SKU,21.1
PMN-0097,Untung Utomo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2014-08-16,145,BHL,17.9
PMN-0098,Candra Wijaya,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2015-01-29,140,SKU,20.5
PMN-0099,Firman Lubis,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2013-06-19,159,SKU,25.8
PMN-0100,Yusuf Panjaitan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2024-12-07,20,SKU,20.5
PMN-0101,Samsul Sembiring,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2026-06-01,2,SKU,15.9
PMN-0102,Ratna Hutapea,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2022-07-29,48,SKU,17.5
PMN-0103,Umar Firdaus,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2026-01-08,6,SKU,17.0
PMN-0104,Mulyadi Damanik,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2017-06-16,111,BHL,21.3
PMN-0105,Maman Simanjuntak,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2025-04-02,16,BHL,17.6
PMN-0106,Tarno Ismail,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2024-11-01,21,SKU,14.1
PMN-0107,Jefri Kusuma,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2020-11-21,69,SKU,25.4
PMN-0108,Marwan Mahendra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2025-10-12,9,BHL,17.2
PMN-0109,Agus Saragih,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2025-05-27,14,BHL,23.7
PMN-0110,Paiman Suhendra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2012-11-11,167,SKU,15.0
PMN-0111,Latif Fauzi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Yanto Sitompul,Hendra Dalimunthe,2020-03-02,78,SKU,22.8
PMN-0112,Wahyu Yusril,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2023-09-22,34,SKU,15.4
PMN-0113,Wardi Sagala,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Kurnia Butar-butar,Hendra Dalimunthe,2025-11-27,8,BHL,18.3
PMN-0114,Dedi Siregar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2019-11-29,81,SKU,25.6
PMN-0115,Maman Lubis,BSK,Estate Bukit Sekawan,Kalimantan Tengah,E,Gunawan Mahendra,Hendra Dalimunthe,2017-07-28,109,SKU,25.0
PMN-0116,Riko Butar-butar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2014-02-18,151,SKU,16.3
PMN-0117,Tono Pratama,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2021-12-30,55,SKU,21.2
PMN-0118,Rahmat Sinaga,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2026-05-02,3,BHL,21.3
PMN-0119,Candra Fauzi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2024-12-18,19,BHL,14.4
PMN-0120,Edi Saragih,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2022-01-29,54,SKU,14.8
PMN-0121,Wardi Wibowo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2024-11-03,21,BHL,21.3
PMN-0122,Edi Nasution,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2023-11-08,33,SKU,22.1
PMN-0123,Joko Damanik,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2015-07-10,134,SKU,15.0
PMN-0124,Eko Prasetyo,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2013-08-29,157,SKU,18.4
PMN-0125,Sutrisno Saputra,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2021-06-19,62,SKU,15.5
PMN-0126,Priyo Santoso,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2021-02-14,66,SKU,14.2
PMN-0127,Dewi Dalimunthe,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2025-10-15,9,SKU,16.3
PMN-0128,Irwan Lubis,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2025-10-13,9,SKU,14.2
PMN-0129,Budi Anggara,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2012-01-13,177,SKU,22.7
PMN-0130,Feri Situmorang,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2016-03-01,126,SKU,25.8
PMN-0131,Yanto Sianturi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2022-06-15,50,SKU,24.7
PMN-0132,Deni Sembiring,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2016-04-16,125,BHL,25.6
PMN-0133,Herman Mangunsong,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2018-11-06,94,SKU,16.7
PMN-0134,Darto Sitompul,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2025-06-03,14,SKU,22.5
PMN-0135,Deni Saragih,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2018-07-31,97,BHL,16.5
PMN-0136,Untung Gunadi,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2026-01-22,6,SKU,19.7
PMN-0137,Nasrul Harahap,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Agus Silalahi,Wahyu Anggara,2025-12-14,7,SKU,22.0
PMN-0138,Teguh Harahap,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Latif Adiputra,Wahyu Anggara,2024-07-20,24,SKU,15.2
PMN-0139,Bambang Yusril,BSK,Estate Bukit Sekawan,Kalimantan Tengah,F,Candra Sembiring,Wahyu Anggara,2024-06-25,25,SKU,22.4
PMN-0140,Rahmat Panjaitan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2013-03-04,163,BHL,19.0
PMN-0141,Umar Lubis,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2026-03-19,4,SKU,16.1
PMN-0142,Wahyu Harahap,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Oki Saragih,Untung Sanjaya,2025-03-02,17,SKU,15.9
PMN-0143,Wulan Sitompul,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2018-06-19,98,SKU,24.7
PMN-0144,Zainal Harahap,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2022-12-15,44,SKU,17.5
PMN-0145,Irwan Wijaya,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Oki Saragih,Untung Sanjaya,2025-09-28,10,SKU,18.5
PMN-0146,Irwan Hartanto,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Oki Saragih,Untung Sanjaya,2026-03-30,4,BHL,16.2
PMN-0147,Usman Nugroho,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2012-03-01,175,BHL,20.3
PMN-0148,Eko Kusuma,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Oki Saragih,Untung Sanjaya,2025-10-24,9,SKU,21.7
PMN-0149,Usman Saragih,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2026-01-26,6,SKU,19.3
PMN-0150,Untung Silalahi,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2015-05-22,136,BHL,16.4
PMN-0151,Endang Kurniawan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2024-09-16,22,SKU,18.8
PMN-0152,Usman Ramadhan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2026-01-15,6,SKU,19.4
PMN-0153,Marni Sinaga,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2013-07-03,159,SKU,15.9
PMN-0154,Gunawan Purba,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2025-09-24,10,SKU,24.6
PMN-0155,Irwan Wibowo,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2014-01-13,152,SKU,25.1
PMN-0156,Kurnia Sembiring,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Oki Saragih,Untung Sanjaya,2014-09-22,144,SKU,15.4
PMN-0157,Ratna Hartanto,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2013-04-17,161,SKU,15.9
PMN-0158,Deni Kusuma,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2016-10-17,119,SKU,14.9
PMN-0159,Oki Ramadhan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2025-09-25,10,SKU,14.6
PMN-0160,Dewi Wibowo,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2025-09-01,11,SKU,16.6
PMN-0161,Gunawan Kusuma,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2025-01-28,18,SKU,22.9
PMN-0162,Gilang Ramadhan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2014-01-23,152,SKU,23.2
PMN-0163,Mulyadi Kurniawan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2026-01-19,6,SKU,23.5
PMN-0164,Nanda Situmorang,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Gilang Santoso,Untung Sanjaya,2013-04-21,161,SKU,15.8
PMN-0165,Jumadi Ismail,TJL,Estate Tanjung Lestari,Kalimantan Tengah,A,Fajar Fauzi,Untung Sanjaya,2025-10-20,9,BHL,25.0
PMN-0166,Paiman Halim,TJL,Estate Tanjung Lestari,Kalimantan Tengah,B,Rudi Ramadhan,Latif Sinaga,2026-01-24,6,SKU,22.1
