InspeksiID,Tanggal,Bulan,NamaBulan,EstateKode,Estate,Wilayah,StatusKebun,Afdeling,BlokID,LuasHancak_Ha,PemanenID,NamaPemanen,MasaKerjaBulan,KelompokMasaKerja,StatusKaryawan,Mandor,Asisten,InspekturSQA,BrondolanTidakTerkutip,BuahMatangTertinggal,BuahMentahDipanen,MutuPotongTangkai,PelepahSengkleh,SusunanPelepah,PiringanBersih,GawanganBersih,PasarPikulBersih,KerapianTPH,SkorTotal,Grade,Denda_Rp,CurahHujanBulan_mm,TindakanKorektif,StatusVerifikasi
MH-00011,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-004,21.6,PMN-0005,Zainal Sianturi,5,< 6 bulan,BHL,Iwan Harahap,Dedi Halim,Ratna Kusumaningrum,12.9,9.5,7.6,8.0,7.6,8.2,8.1,3.9,3.7,3.7,73.2,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00012,2026-01-13,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-020,18.6,PMN-0026,Marni Utomo,19,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Dewi Lestari,17.5,13.4,8.8,9.2,8.4,8.7,8.8,4.4,4.2,4.3,87.7,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00013,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-011,21.6,PMN-0005,Zainal Sianturi,5,< 6 bulan,BHL,Iwan Harahap,Dedi Halim,Ratna Kusumaningrum,13.6,10.2,8.0,7.5,7.2,7.5,7.7,3.8,3.6,3.6,72.7,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00014,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-011,24.3,PMN-0001,Priyo Rachman,1,< 6 bulan,BHL,Teguh Sagala,Dedi Halim,Tri Wibisono,14.1,9.5,7.6,7.6,7.4,8.2,7.3,3.7,4.1,4.1,73.6,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00015,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-024,25.7,PMN-0019,Ade Anggara,120,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Ratna Kusumaningrum,17.9,13.3,8.8,8.6,8.5,8.4,8.1,4.2,4.1,4.2,86.1,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00016,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-010,23.3,PMN-0007,Ratna Sembiring,23,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,17.5,13.3,8.7,9.1,9.0,8.5,8.6,4.4,4.2,4.5,87.8,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00017,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-001,16.2,PMN-0025,Nasrul Damanik,16,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,16.0,13.6,9.1,8.6,8.1,8.8,8.5,4.6,4.1,4.3,85.7,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00018,2026-01-21,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-024,22.7,PMN-0011,Hendra Sanjaya,163,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Yanuar Santika,17.2,12.2,8.6,9.1,8.8,9.1,8.3,4.3,4.2,4.4,86.2,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00019,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-004,24.3,PMN-0001,Priyo Rachman,1,< 6 bulan,BHL,Teguh Sagala,Dedi Halim,Yanuar Santika,12.4,10.0,7.7,7.8,7.7,7.2,8.0,3.9,3.7,3.9,72.3,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00020,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-015,23.3,PMN-0007,Ratna Sembiring,23,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Hendra Sitompul,16.4,13.3,8.8,8.5,8.8,8.4,8.1,4.0,4.3,4.1,84.7,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00021,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-020,21.6,PMN-0005,Zainal Sianturi,5,< 6 bulan,BHL,Iwan Harahap,Dedi Halim,Tri Wibisono,12.6,9.7,7.4,7.4,7.6,7.7,7.9,3.7,4.0,3.7,71.7,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00022,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-005,17.1,PMN-0023,Paiman Sagala,1,< 6 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,12.8,10.5,8.1,8.2,8.0,8.1,8.0,3.7,4.0,3.7,75.1,C,35000,391.2,Kutip ulang + coaching mandor,Terverifikasi
MH-00023,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-019,21.6,PMN-0015,Budi Sudarmono,31,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Ratna Kusumaningrum,16.0,13.6,8.3,8.8,8.7,9.0,8.6,4.6,4.2,4.2,86.0,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00024,2026-01-09,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-007,21.5,PMN-0024,Candra Nugroho,136,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Hendra Sitompul,17.2,12.9,9.2,9.2,8.2,8.3,9.0,4.5,4.4,4.4,87.3,B,0,391.2,Pengarahan ringan,Terverifikasi
MH-00025,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-013,18.6,PMN-0026,Marni Utomo,19,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Yanuar Santika,16.8,12.0,9.2,8.6,8.9,8.4,8.8,4.3,4.0,4.3,85.3,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00026,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-023,17.3,PMN-0008,Bambang Utomo,62,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Yanuar Santika,16.0,12.6,9.1,8.4,8.3,8.1,8.8,4.1,4.4,4.1,83.9,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00027,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-021,19.3,PMN-0016,Zulkifli Siregar,137,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Ratna Kusumaningrum,16.9,13.6,8.5,8.2,8.7,8.7,8.5,4.5,4.1,4.3,86.0,B,0,422.4,Pengarahan ringan,Menunggu verifikasi
MH-00028,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-002,24.3,PMN-0002,Budi Manurung,50,> 12 bulan,BHL,Iwan Harahap,Dedi Halim,Hendra Sitompul,16.2,13.3,8.3,8.9,9.0,8.2,8.1,4.2,4.6,4.2,85.0,B,0,422.4,Pengarahan ringan,Menunggu verifikasi
MH-00029,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-024,24.3,PMN-0001,Priyo Rachman,1,< 6 bulan,BHL,Teguh Sagala,Dedi Halim,Hendra Sitompul,13.9,9.4,7.6,7.5,7.3,7.6,7.6,3.9,4.1,4.1,73.0,C,35000,422.4,Kutip ulang + coaching mandor,Menunggu verifikasi
MH-00030,2026-02-02,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-008,14.8,PMN-0017,Usman Mangunsong,64,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,18.2,13.2,9.2,8.4,8.9,8.5,8.3,4.1,4.5,4.6,87.9,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00031,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-006,25.6,PMN-0020,Oki Sembiring,158,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Tri Wibisono,18.3,13.1,9.2,9.0,8.6,9.1,9.0,4.3,4.0,4.5,89.1,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00032,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-014,14.8,PMN-0017,Usman Mangunsong,64,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Tri Wibisono,17.6,13.5,8.4,8.8,9.0,8.5,8.2,4.5,4.0,4.1,86.6,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00033,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-013,25.7,PMN-0019,Ade Anggara,120,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Dewi Lestari,18.2,12.5,8.3,8.5,8.8,8.0,9.1,4.2,4.5,4.2,86.3,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00034,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-002,17.4,PMN-0006,Wulan Kurniawan,97,> 12 bulan,SKU,Endang Manurung,Dedi Halim,Hendra Sitompul,17.5,13.0,8.9,8.4,8.7,8.5,9.2,4.4,4.2,4.3,87.1,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00035,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-002,19.3,PMN-0016,Zulkifli Siregar,137,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,17.0,12.1,9.2,8.7,8.6,8.1,8.9,4.4,4.4,4.6,86.0,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00036,2026-02-04,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-024,24.3,PMN-0002,Budi Manurung,50,> 12 bulan,BHL,Iwan Harahap,Dedi Halim,Hendra Sitompul,17.9,12.1,8.1,8.8,8.8,8.2,8.6,4.4,4.2,4.4,85.5,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00037,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-012,22.1,PMN-0014,Mulyadi Pratama,7,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Ratna Kusumaningrum,16.9,12.4,7.9,8.0,8.4,8.6,8.1,4.1,4.1,4.4,82.9,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00038,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-016,21.6,PMN-0015,Budi Sudarmono,31,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Dewi Lestari,16.3,12.4,8.9,8.8,8.1,8.8,8.9,4.1,4.0,4.2,84.5,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00039,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-001,23.3,PMN-0007,Ratna Sembiring,23,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Ratna Kusumaningrum,18.0,13.4,8.4,8.3,8.5,8.2,8.1,4.4,4.6,4.6,86.5,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00040,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-007,18.0,PMN-0004,Deni Wibowo,25,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Yanuar Santika,17.1,13.2,8.3,8.5,8.9,9.0,9.1,4.4,4.5,4.5,87.5,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00041,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-020,24.3,PMN-0001,Priyo Rachman,1,< 6 bulan,BHL,Teguh Sagala,Dedi Halim,Dewi Lestari,14.1,10.3,7.2,7.2,7.9,7.5,7.6,3.9,3.9,3.6,73.2,C,35000,422.4,Kutip ulang + coaching mandor,Terverifikasi
MH-00042,2026-02-03,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-008,14.9,PMN-0013,Wardi Prasetyo,131,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Yanuar Santika,16.7,13.5,9.0,8.1,8.7,8.3,8.7,4.6,4.5,4.6,86.7,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00043,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-021,14.8,PMN-0017,Usman Mangunsong,64,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,16.0,12.0,8.9,8.7,8.5,8.1,8.7,4.5,4.3,4.1,83.8,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00044,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-002,17.6,PMN-0022,Imam Purba,6,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Hendra Sitompul,16.3,12.5,7.8,8.7,8.0,8.8,8.3,4.3,4.2,4.2,83.1,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00045,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-024,25.6,PMN-0020,Oki Sembiring,158,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Tri Wibisono,17.3,13.2,9.0,8.3,9.0,9.1,8.5,4.5,4.0,4.1,87.0,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00046,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-011,24.9,PMN-0009,Firman Rachman,36,> 12 bulan,SKU,Endang Manurung,Dedi Halim,Dewi Lestari,17.7,12.9,8.4,8.5,8.6,9.0,8.9,4.5,4.4,4.4,87.3,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00047,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-003,22.1,PMN-0014,Mulyadi Pratama,7,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Ratna Kusumaningrum,15.3,11.7,8.0,8.6,8.1,7.7,8.1,4.4,4.1,4.1,80.1,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00048,2026-02-15,2,Feb,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-013,23.3,PMN-0007,Ratna Sembiring,23,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,16.5,12.4,8.9,8.2,8.5,9.1,8.1,4.5,4.1,4.6,84.9,B,0,422.4,Pengarahan ringan,Terverifikasi
MH-00049,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-022,15.4,PMN-0003,Darto Silalahi,3,< 6 bulan,SKU,Endang Manurung,Dedi Halim,Hendra Sitompul,13.4,10.4,7.5,8.0,7.3,8.2,8.2,3.7,3.8,3.7,74.2,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
MH-00050,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-018,19.9,PMN-0021,Fajar Hutapea,172,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,18.2,13.2,8.3,8.7,8.4,8.4,8.2,4.1,4.4,4.3,86.2,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00051,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-004,25.4,PMN-0010,Usman Harahap,138,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Tri Wibisono,18.3,12.7,8.7,9.3,8.3,8.8,8.5,4.2,4.3,4.1,87.2,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00052,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-012,21.6,PMN-0015,Budi Sudarmono,31,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Dewi Lestari,17.7,12.5,9.0,8.5,8.5,8.9,8.1,4.4,4.2,4.4,86.2,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00053,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-015,18.6,PMN-0026,Marni Utomo,19,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Hendra Sitompul,17.2,12.4,8.1,8.1,8.3,9.0,8.3,4.5,4.6,4.1,84.6,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00054,2026-03-19,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-006,17.6,PMN-0022,Imam Purba,6,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Yanuar Santika,15.9,12.1,7.9,8.4,8.2,7.7,8.0,4.1,4.2,4.1,80.6,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00055,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-004,22.7,PMN-0011,Hendra Sanjaya,163,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Yanuar Santika,17.6,13.4,8.4,8.5,8.5,8.3,9.2,4.4,4.3,4.3,86.9,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00056,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-013,21.6,PMN-0015,Budi Sudarmono,31,> 12 bulan,BHL,Teguh Sagala,Dedi Halim,Yanuar Santika,18.0,12.0,8.4,9.1,8.1,8.2,8.6,4.3,4.2,4.5,85.4,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00057,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-008,17.6,PMN-0022,Imam Purba,6,6-12 bulan,SKU,Endang Manurung,Dedi Halim,Hendra Sitompul,16.5,12.4,7.8,8.3,8.4,8.4,7.8,4.0,4.4,4.1,82.1,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00058,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-023,16.8,PMN-0012,Krisna Butar-butar,18,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Dewi Lestari,17.8,13.0,8.2,8.9,8.7,8.5,8.3,4.4,4.5,4.3,86.6,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00059,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-014,17.1,PMN-0023,Paiman Sagala,1,< 6 bulan,SKU,Teguh Sagala,Dedi Halim,Hendra Sitompul,13.8,9.5,7.5,7.8,7.7,8.2,7.4,4.1,4.1,4.0,74.1,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
MH-00060,2026-03-08,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-005,24.3,PMN-0001,Priyo Rachman,1,< 6 bulan,BHL,Teguh Sagala,Dedi Halim,Hendra Sitompul,14.1,9.2,7.5,8.2,7.8,7.5,8.1,3.7,3.7,3.9,73.7,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
MH-00061,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-018,19.9,PMN-0021,Fajar Hutapea,172,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,17.2,13.4,8.7,8.4,9.2,8.3,8.2,4.4,4.4,4.2,86.4,B,0,398.3,Pengarahan ringan,Menunggu verifikasi
MH-00062,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-007,21.6,PMN-0005,Zainal Sianturi,5,< 6 bulan,BHL,Iwan Harahap,Dedi Halim,Hendra Sitompul,14.1,10.0,7.9,7.8,7.3,7.3,8.2,3.8,3.9,3.9,74.2,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
MH-00063,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-021,24.9,PMN-0009,Firman Rachman,36,> 12 bulan,SKU,Endang Manurung,Dedi Halim,Dewi Lestari,16.3,12.4,8.3,8.5,8.5,8.3,8.3,4.6,4.3,4.4,83.9,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00064,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-020,17.4,PMN-0006,Wulan Kurniawan,97,> 12 bulan,SKU,Endang Manurung,Dedi Halim,Tri Wibisono,17.2,12.6,9.2,9.2,8.1,8.4,8.4,4.2,4.1,4.4,85.8,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00065,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-006,21.5,PMN-0024,Candra Nugroho,136,> 12 bulan,SKU,Teguh Sagala,Dedi Halim,Ratna Kusumaningrum,17.3,12.4,8.8,8.2,9.1,9.1,8.3,4.4,4.4,4.2,86.2,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00066,2026-03-13,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-001,17.1,PMN-0023,Paiman Sagala,1,< 6 bulan,SKU,Teguh Sagala,Dedi Halim,Yanuar Santika,12.8,9.5,7.7,8.1,8.1,7.5,8.0,3.7,4.1,4.0,73.5,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
MH-00067,2026-03-21,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-012,24.3,PMN-0002,Budi Manurung,50,> 12 bulan,BHL,Iwan Harahap,Dedi Halim,Dewi Lestari,17.3,12.7,8.2,8.4,8.6,9.0,8.8,4.0,4.3,4.5,85.8,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00068,2026-03-21,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-014,18.6,PMN-0026,Marni Utomo,19,> 12 bulan,SKU,Iwan Harahap,Dedi Halim,Ratna Kusumaningrum,16.6,12.7,8.0,8.6,9.1,8.2,9.2,4.5,4.3,4.2,85.4,B,0,398.3,Pengarahan ringan,Terverifikasi
MH-00069,2026-03-21,3,Mar,BSK,Estate Bukit Sekawan,Kalimantan Tengah,Inti,A,BSK-A-012,21.6,PMN-0005,Zainal Sianturi,5,< 6 bulan,BHL,Iwan Harahap,Dedi Halim,Dewi Lestari,13.2,10.3,7.4,7.3,8.2,7.4,7.7,4.1,3.7,3.7,73.0,C,35000,398.3,Kutip ulang + coaching mandor,Terverifikasi
